year,cname,cowcode,ccodewb,creation,reform,direction,increase,decrease,regional,lvau_garriga,lvaw_garriga,cuk_ceo,cuk_obj,cuk_pol,cuk_limlen,lvaw_garriga_diff
1980,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1981,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1982,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1983,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1984,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1985,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1986,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1987,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1988,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1989,Portugal,235,620,0,0,0,0,0,0,0.295,0.290,0.438,0.400,0.083,0.261,0
1990,Portugal,235,620,0,1,1,1,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1991,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1992,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1993,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1994,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1995,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1996,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1997,Portugal,235,620,0,0,0,0,0,0,0.567,0.594,0.438,0.600,0.568,0.663,0
1998,Portugal,235,620,0,1,1,1,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1999,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2000,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2001,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2002,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2003,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2004,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2005,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2006,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2007,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2008,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2009,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2010,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2011,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2012,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2013,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2014,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2015,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2016,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2017,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2018,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2019,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2020,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2021,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2022,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2023,Portugal,235,620,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1970,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1971,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1972,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1973,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1974,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1975,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1976,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1977,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1978,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1979,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1980,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1981,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1982,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1983,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1984,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1985,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1986,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1987,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1988,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1989,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1990,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1991,Germany,260,276,0,0,0,0,0,0,0.742,0.695,0.688,1.000,0.668,0.615,0
1992,Germany,260,276,0,1,1,1,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1993,Germany,260,276,0,0,0,0,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1994,Germany,260,276,0,0,0,0,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1995,Germany,260,276,0,0,0,0,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1996,Germany,260,276,0,0,0,0,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1997,Germany,260,276,0,0,0,0,0,0,0.783,0.848,0.563,1.000,0.568,1.000,0
1998,Germany,260,276,0,1,1,1,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1999,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2000,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2001,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2002,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2003,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2004,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2005,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2006,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2007,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2008,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2009,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2010,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2011,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2012,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2013,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2014,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2015,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2016,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2017,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2018,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2019,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2020,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2021,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2022,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2023,Germany,260,276,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1970,Poland,290,616,0,0,0,0,0,0,0.127,0.131,0.313,0.000,0.083,0.112,0
1971,Poland,290,616,0,0,0,0,0,0,0.127,0.131,0.313,0.000,0.083,0.112,0
1972,Poland,290,616,0,1,-1,0,1,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1973,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1974,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1975,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1976,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1977,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1978,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1979,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1980,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1981,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1982,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1983,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1984,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1985,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1986,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1987,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1988,Poland,290,616,0,0,0,0,0,0,0.109,0.104,0.188,0.000,0.168,0.083,0
1989,Poland,290,616,0,1,1,1,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1990,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1991,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1992,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1993,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1994,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1995,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,0
1996,Poland,290,616,0,0,0,0,0,0,0.562,0.462,0.770,0.600,0.633,0.246,1
1997,Poland,290,616,0,1,1,1,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
1998,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
1999,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2000,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2001,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2002,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2003,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2004,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2005,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2006,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2007,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2008,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2009,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2010,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2011,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2012,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2013,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2014,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2015,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2016,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2017,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2018,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2019,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2020,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2021,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2022,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
2023,Poland,290,616,0,0,0,0,0,0,0.833,0.875,0.770,0.600,1.000,0.963,1
1970,Austria,305,40,0,0,0,0,0,0,0.600,0.652,0.583,0.600,0.468,0.750,0
1971,Austria,305,40,0,0,0,0,0,0,0.600,0.652,0.583,0.600,0.468,0.750,0
1972,Austria,305,40,0,1,-1,0,1,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1973,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1974,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1975,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1976,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1977,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1978,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1979,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1980,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1981,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1982,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1983,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1984,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1985,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1986,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1987,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1988,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1989,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1990,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1991,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1992,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1993,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1994,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1995,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1996,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1997,Austria,305,40,0,0,0,0,0,0,0.596,0.614,0.583,0.600,0.550,0.650,0
1998,Austria,305,40,0,1,1,1,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1999,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2000,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2001,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2002,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2003,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2004,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2005,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2006,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2007,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2008,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2009,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2010,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2011,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2012,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2013,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2014,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2015,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2016,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2017,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2018,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2019,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2020,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2021,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2022,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
2023,Austria,305,40,0,0,0,0,0,1,0.796,0.857,0.583,0.600,1.000,1.000,1
1970,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1971,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1972,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1973,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1974,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1975,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1976,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1977,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1978,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1979,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1980,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1981,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1982,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1983,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1984,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1985,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1986,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1987,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1988,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1989,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1990,Hungary,310,348,0,0,0,0,0,0,0.272,0.243,0.438,0.400,0.083,0.167,0
1991,Hungary,310,348,0,1,1,1,0,0,0.694,0.625,0.770,0.600,0.918,0.488,0
1992,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,0
1993,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,0
1994,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,0
1995,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,0
1996,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,1
1997,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,1
1998,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,1
1999,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,1
2000,Hungary,310,348,0,0,0,0,0,0,0.694,0.625,0.770,0.600,0.918,0.488,1
2001,Hungary,310,348,0,1,1,1,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2002,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2003,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2004,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2005,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2006,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2007,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2008,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2009,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2010,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2011,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2012,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2013,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2014,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2015,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2016,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2017,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2018,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2019,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2020,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2021,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2022,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
2023,Hungary,310,348,0,0,0,0,0,0,0.877,0.912,0.708,0.800,1.000,1.000,1
1992,Czech Republic,316,203,1,1,1,1,0,0,0.715,0.694,0.645,0.800,0.750,0.664,0
1993,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,0
1994,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,0
1995,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,0
1996,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,1
1997,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,1
1998,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,1
1999,Czech Republic,316,203,0,0,0,0,0,0,0.715,0.694,0.645,0.800,0.750,0.664,1
2000,Czech Republic,316,203,0,1,1,1,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2001,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2002,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2003,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2004,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2005,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2006,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2007,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2008,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2009,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2010,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
2011,Czech Republic,316,203,0,0,0,0,0,0,0.749,0.832,0.645,0.600,0.750,1.000,1
